Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
10804;Alonso Cano. Pintor, escultor i arquitecte;Estampa;Joan Amills Costa;004200-G;103;8;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557114
10805;Altar/tabernáculo;Estampa;;005377-G;275;267;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559072
10806;Alwine Busse;Estampa;;160928-G;103;8;Secció de Gravats (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27562758
10807;Alwine Reinecke;Estampa;;160929-G;103;8;Secció de Gravats (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27562766
10808;Al·legoria de lloança a la casa de Borbó;Estampa;Joan Amills Costa;010176-G;14;87;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557065
10809;Al·legoria: dos retrats femenins;Estampa;;027153-G;166;167;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27558960
10810;Al·legoría del temps, la Fama i les Belles Arts;Estampa;Joan Amills Costa;010146-G;21;15;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557082
10811;Amat. Historiador eclesiàstic;Estampa;Joan Amills Costa;004179-G;108;82;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557109
10812;Amy Ivers Truesdell;Estampa;;160386-G;115;92;Secció de Gravats (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27567203
10813;Ana Bolena davant del tribunal;Estampa;Joaquim Furnó i Abad;021340-G;29;186;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557464
10814;Anchen Und Wilhelm Menz;Estampa;;162377-G;16;123;Secció de Gravats (MNAC);1914;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27564122
10815;Andrew Frederic Inderwick;Estampa;;160764-G;116;8;Secció de Gravats (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27568498
10816;Andrew Smith Hallidie;Estampa;;160878-G;93;86;Secció de Gravats (MNAC);1903;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27567997
10817;Angelus;Estampa;Àngel Toldrà Viazo;250403-054;9;14;Secció de Gravats (MNAC);1909;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27573484
10818;Antiguitats romanes trobades a Tárraco;Estampa;;010777-G;348;245;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557037
10819;Antiguos fragmentos en Tarragona;Estampa;Q1644600;024294-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27556967
10820;Antiguos fragmentos en Tarragona;Estampa;Alexandre de Laborde;024294-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27556967
10821;Antirracionalismo;Estampa;Àngel Toldrà Viazo;250403-093;9;14;Secció de Gravats (MNAC);1909;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27573872
10822;Antoni de Gimbernat i Arbòs Busto;Estampa;Joan Amills Costa;003093-G;104;76;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557401
10823;Antonio Agustín;Estampa;Joan Amills Costa;003099-G;10;8;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557403
10824;Antonio José Cavanilles. Eclesiàstic;Estampa;Joan Amills Costa;004207-G;10;77;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557121
10825;Antonio José Cavanilles. Eclesiàstic (Museu Nacional d'Art de Catalunya, inv 004208-G);Estampa;Joan Amills Costa;004208-G;10;77;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557122
10826;Anunciació;Estampa;;001032-G;28;183;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557484
10827;Anunciació (Museu Nacional d'Art de Catalunya, inv 005806-G);Estampa;;005806-G;28;183;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557485
10828;Anís del Mono;Estampa;Alexandre de Riquer i Ynglada;124041-C;15;99;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27517572
10829;Aquest llibre pertany á M. Bultó;Estampa;Josep Maria Sert i Badia;164150-G;188;94;Secció de Gravats (MNAC);1892;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27516547
10830;Arc de triomf dedicat a Ferran VII;Estampa;;027355-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27558929
10831;Arcas del siglo XVI;Estampa;Q19861616;011689-G;287;22;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559545
10832;Archimedes. Matemàtic de Siracusa;Estampa;Joan Amills Costa;004183-G;103;76;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557413
10833;Arco Triunfal;Estampa;;011702-G;26;28;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559081
10834;Arco de triunfo en Caparra;Estampa;Alexandre de Laborde;024309-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27556969
10835;Arco triunfal en obsequio a SSMM Don Fernando y M. J. Amalia;Estampa;;009907-G;25;38;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559075
10836;Argensola. Poeta aragonès;Estampa;Joan Amills Costa;004182-G;97;77;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557340
10837;Argote de Molina;Estampa;Q19861616;011691-G;232;307;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559129
10838;Armado Caballero;Estampa;Joaquim Espalter i Rull;011742-G;213;158;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559287
10839;Armes de les èpoques primitives conservades a Tarragona;Estampa;;010774-G;334;25;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557034
10840;Arnaldo de Brescia;Estampa;Joaquim Furnó i Abad;027333-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557473
10841;Arnold Broyles and Frances Divine Broyles;Estampa;;160122-G;127;79;Secció de Gravats (MNAC);1906;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27567853
10842;Arquitectura (Museu Nacional d'Art de Catalunya, inv 011775-G);Estampa;Francesc Daniel Molina i Casamajó;011775-G;355;28;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27558965
10843;Art and Craft;Estampa;Àngel Toldrà Viazo;250403-011;9;14;Secció de Gravats (MNAC);1909;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27572783
10844;Artes de la vida humana;Estampa;Q19861616;011685-G;303;231;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559115
10845;Artes de la vida humana (Museu Nacional d'Art de Catalunya, inv 011686-G);Estampa;Q19861616;011686-G;303;231;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559117
10846;Artes de la vida humana (Museu Nacional d'Art de Catalunya, inv 011693-G);Estampa;Q19861616;011693-G;305;232;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559138
10847;Arts i oficis;Estampa;anònim;006372-G;43;43;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27571037
10848;Aspasia. Oradora i literata;Estampa;Joan Amills Costa;004184-G;107;78;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557414
10849;Assetjament de Solsona;Estampa;Tomàs Padró i Pedret;010278-G;16;113;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557689
