Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
2399;Apunt (Museu d'Art Modern de Tarragona, inv 1220-23);Dibuix;Julio Antonio;1220-23;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254814
2400;Apunt (Museu d'Art Modern de Tarragona, inv 1220-25);Dibuix;Julio Antonio;1220-25;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254816
2401;Apunt (Museu d'Art Modern de Tarragona, inv 1220-26);Dibuix;Julio Antonio;1220-26;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254818
2402;Apunt (Museu d'Art Modern de Tarragona, inv 1220-28);Dibuix;Julio Antonio;1220-28;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254734
2403;Apunt (Museu d'Art Modern de Tarragona, inv 1220-32 v);Dibuix;Julio Antonio;1220-32 v;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254823
2404;Apunt (Museu d'Art Modern de Tarragona, inv 1220-33 v);Dibuix;Julio Antonio;1220-33 v;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254836
2405;Apunt (Museu d'Art Modern de Tarragona, inv 1220-33);Dibuix;Julio Antonio;1220-33;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254829
2406;Apunt (Museu d'Art Modern de Tarragona, inv 1220-34 v);Dibuix;Julio Antonio;1220-34 v;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254841
2407;Apunt (Museu d'Art Modern de Tarragona, inv 1220-34);Dibuix;Julio Antonio;1220-34;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254840
2408;Apunt (Museu d'Art Modern de Tarragona, inv 1220-35 v);Dibuix;Julio Antonio;1220-35 v;135;217;Museu d'Art Modern de Tarragona;1905-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24254843
