Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
14963;2n centenari de la mort de Calderón de la Barca (Museu Nacional d'Art de Catalunya, inv 055729-N);Medalles;;055729-N;;;Gabinet Numismàtic de Catalunya (MNAC);1881;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523791
14964;3a Exposició de Belles Arts i Indústries Artístiques;Medalles;Fàbrica de medalles Castells;062650-N;;;Gabinet Numismàtic de Catalunya (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523007
14965;3a Exposició de Belles Arts i Indústries Artístiques (Museu Nacional d'Art de Catalunya, inv 062651-N);Medalles;Fàbrica de medalles Castells;062651-N;;;Gabinet Numismàtic de Catalunya (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523010
14966;3r Centenari de l'edició del Quixot;Medalles;anònim;055536-N;;;Gabinet Numismàtic de Catalunya (MNAC);1905;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523492
14967;3r Centenari de l'edició del Quixot (Museu Nacional d'Art de Catalunya, inv 055453-N);Medalles;;055453-N;;;Gabinet Numismàtic de Catalunya (MNAC);1905;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523576
14968;3r Centenari de l'edició del Quixot (Museu Nacional d'Art de Catalunya, inv 055454-N);Medalles;;055454-N;;;Gabinet Numismàtic de Catalunya (MNAC);1905;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523579
14969;3r Centenari de l'edició del Quixot (Museu Nacional d'Art de Catalunya, inv 055537-N);Medalles;anònim;055537-N;;;Gabinet Numismàtic de Catalunya (MNAC);1905;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523495
14970;3r Centenari de l'edició del Quixot (Museu Nacional d'Art de Catalunya, inv 055538-N);Medalles;anònim;055538-N;;;Gabinet Numismàtic de Catalunya (MNAC);1905;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523498
14971;3r Centenari de la mort de Sant Lluís Gonzaga;Medalles;anònim;005564-N;;;Gabinet Numismàtic de Catalunya (MNAC);1891;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523339
14972;3r Centenari de la mort de Sant Lluís Gonzaga (Museu Nacional d'Art de Catalunya, inv 055653-N);Medalles;anònim;055653-N;;;Gabinet Numismàtic de Catalunya (MNAC);1891;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523342
14973;4a Exposició de Belles Arts i Indústries Artístiques;Medalles;Fàbrica de medalles Castells;062653-N;;;Gabinet Numismàtic de Catalunya (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523013
14974;4a Exposició de Belles Arts i Indústries Artístiques (Museu Nacional d'Art de Catalunya, inv 062652-N);Medalles;Fàbrica de medalles Castells;062652-N;;;Gabinet Numismàtic de Catalunya (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524094
14975;4a Exposició de Belles Arts i Indústries Artístiques (Museu Nacional d'Art de Catalunya, inv 062654-N);Medalles;Fàbrica de medalles Castells;062654-N;;;Gabinet Numismàtic de Catalunya (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524021
14976;4a Exposició de Belles Arts i Indústries Artístiques (Museu Nacional d'Art de Catalunya, inv 062655-N);Medalles;Fàbrica de medalles Castells;062655-N;;;Gabinet Numismàtic de Catalunya (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524024
14977;4rt Centenari del descobriment d'Amèrica;Medalles;;052120-N;;;Gabinet Numismàtic de Catalunya (MNAC);1892;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27522442
14978;4rt Centenari del descobriment d'Amèrica (Museu Nacional d'Art de Catalunya, inv 055503-N);Medalles;;055503-N;;;Gabinet Numismàtic de Catalunya (MNAC);1892;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524052
14979;4rt centenari del descobriment d'Amèrica;Medalles;anònim;052125-N;;;Gabinet Numismàtic de Catalunya (MNAC);1892;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27522357
