Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink;;;;;;;;;;
14602;Newmarket;Cartells;John Hassall;000075-C;76;514;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513036;;;;;;;;;;
14767;Starlight Savon;Cartells;Henri Meunier;000072-C;875;45;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513038;;;;;;;;;;
14541;Le Carnet Mondain;Cartells;Henri Meunier;000071-C;85;622;Secció de Cartells (MNAC);1901;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513040;;;;;;;;;;
14716;Sense títol (Biscuits de Beukelaer);Cartells;Henri Privat-Livemont;000006-C;791;452;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513042;;;;;;;;;;
14733;Sense títol (Michiels Frères Pépiniéristes Architectes de Jardins);Cartells;Henri Privat-Livemont;000616-C;855;502;Secció de Cartells (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513045;;;;;;;;;;
14660;Red Star Line;Cartells;Henri Cassiers;000155-C;83;57;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513047;;;;;;;;;;
14171;Antiqvarvm artivm barcinonensis;Cartells;Ramon Casas i Carbó;000362-C;70;485;Secció de Cartells (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513048;;;;;;;;;;
14446;Harper's June;Cartells;Edward Penfield;000479-C;475;35;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513050;;;;;;;;;;
14828;The Inland Printer. August, 1894;Cartells;William Henry Bradley;004298-C;314;237;Secció de Cartells (MNAC);1894;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513051;;;;;;;;;;
14825;The Inland Printer. April;Cartells;Charles Warde Traver;004317-C;314;229;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513052;;;;;;;;;;
