Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
3687;Bust del Sr. Barrau;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835920
3688;Bust del nét de l'escultor;Escultura;Mariano Benlliure Gil;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24196231
3689;Bust en terracuita de Lluís Millet i Pagès;Escultura;;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q22078311
3690;Bust femení;Escultura;Agustí Querol i Subirats;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24175412
3691;Bust femení 148;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835923
3692;Bust femení 213;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835921
3693;Bust femení 213a;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Mollet del Vallès;http://www.wikidata.org/entity/Q26835924
3694;Bust femení 213b;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835922
3695;Bust femení amb vel 68a;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835925
3696;Busto de Héroe muerto (Museu d'Art Modern de Tarragona, inv 3011);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24258295
3697;Busts del matrimoni Masllorens;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Olot;http://www.wikidata.org/entity/Q26835926
3698;Cabrero de las Tierras de Zamora (Museu d'Art Modern de Tarragona, inv 3003);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24255321
3699;Cabrero de las Tierras de Zamora (Museu d'Art Modern de Tarragona, inv 3205);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24257019
3700;Camí cap al Calvari;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Escorca;http://www.wikidata.org/entity/Q26835927
3701;Cangur (Museu d'Art Modern de Tarragona, inv 3667);Escultura;Josep Pujol Montané;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24258383
3702;Cap de Crist;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835928
3703;Cap de noia;Escultura;Joan Borrell i Nicolau;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q23955893
3704;Carreras ciclistas (1909-1912);Escultura;Antoni Parera i Saurina;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q23901758
3705;Catalunya i les Ciències 129;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835929
3706;Catalunya i les Ciències 129a;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835931
3707;Cinquantenari dels Jocs Florals de Barcelona M04;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835934
3708;Cinquantenari dels Jocs Florals de Barcelona M04a;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835933
3709;Cinquè misteri de Dolor;Escultura;Josep Puig i Cadafalch;;;;;;;;;;;;Point(1.8425 41.590833333);;;;;;Collbató;http://www.wikidata.org/entity/Q23782675
3710;Cinquè misteri de Dolor;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;Point(1.8425 41.590833333);;;;;;Collbató;http://www.wikidata.org/entity/Q23782675
3711;Comisión de Reformas, Tesorería y Obras extraodinarias;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835935
3712;Cordèlia;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835937
3713;Coronació d'espines;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Escorca;http://www.wikidata.org/entity/Q26835939
