Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
3457;Cos de vestit del Museu de la Marina;Top;Anonimat;2;;;Museu de la Marina;1890;;;;Museu de la Marina;;162CV;2.389374599 41.507239;;;;;;;http://www.wikidata.org/entity/Q23971341
3488;"Cos de vestit del Taller Estudi Oleguer Junyent	";Top;Carmen Salarich;001/1;;;Taller-estudi d'Oleguer Junyent;1900;;;;Taller-estudi d'Oleguer Junyent;;281CV;;;;;;;;http://www.wikidata.org/entity/Q23906618
3489;"Cos de vestit del Museo del Traje	";Top;C. Ponsa;91908;;;Museu del Vestit;1905;;;;Museu del Vestit;;278CV;(-3.72861111 40.44);;;;;;;http://www.wikidata.org/entity/Q23906616
3490;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;11927/1;;;Centre de Documentació i Museu Tèxtil;1900;;;;Centre de Documentació i Museu Tèxtil;;249CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906613
3491;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;11930/1;;;Centre de Documentació i Museu Tèxtil;1906;;;;Centre de Documentació i Museu Tèxtil;;245CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906612
3492;"Cos de vestit del Museu Arxiu Municipal de Calella	";Top;Anonimat;19340/1;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;1900;;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;;238CV;2.657291600 41.612832;;;;;;;http://www.wikidata.org/entity/Q23906611
3493;"Cos de vestit del Museu Comarcal de l'Urgell	";Top;Anonimat;003/1;;;Museu Comarcal de l'Urgell;1902;;;;Museu Comarcal de l'Urgell;;267CV;1.139297100 41.645901;;;;;;;http://www.wikidata.org/entity/Q23906610
3494;"Cos de vestit del Museu de la pell d'Igualada	";Top;Francisca Torra de Riba;1055/1;;;Museu de la Pell d'Igualada;1900;;;;Museu de la Pell d'Igualada;;251CV;1.613885299 41.5776134;;;;;;;http://www.wikidata.org/entity/Q23906607
3495;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;16784/1;;;Museu d'Història de Sabadell;1900;;;;Museu d'Història de Sabadell;;227CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906602
3496;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;1644/1;;;Museu d'Història de Sabadell;1905;;;;Museu d'Història de Sabadell;;225CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906601
3497;"Cos de vestit del Museu Tèxtil i de la Indumentària de Barcelona	";Top;Maria Molist Bartres;88137/1;;;Museu Tèxtil i d'Indumentària;1900;;;;Museu Tèxtil i d'Indumentària;;262CV;2.180833333 41.385;;;;;;;http://www.wikidata.org/entity/Q23906599
3498;"Cos de vestit del Museu Tèxtil i de la Indumentària de Barcelona	";Top;Anonimat;88130/1;;;Museu Tèxtil i d'Indumentària;1900;;;;Museu Tèxtil i d'Indumentària;;258CV;2.180833333 41.385;;;;;;;http://www.wikidata.org/entity/Q23906594
3499;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;5219/1;;;Museu Etnogràfic de Ripoll;1900;;;;Museu Etnogràfic de Ripoll;;220CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906592
3500;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;4613/1;;;Museu d'Història de Sabadell;1906;;;;Museu d'Història de Sabadell;;254CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906591
3501;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;4600/1;;;Museu d'Història de Sabadell;1905;;;;Museu d'Història de Sabadell;;212CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906589
3502;"Cos de vestit del Museu Arxiu Municipal de Calella	";Top;Anonimat;19333;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;1908;;;;Museu Arxiu Municipal de Calella Josep Maria Codina i Bagué;;236CV;2.657291600 41.612832;;;;;;;http://www.wikidata.org/entity/Q23906585
3503;"Cos de vestit del Museu de Badalona	";Top;Anonimat;4738;;;Museu de Badalona;1906;;;;Museu de Badalona;;230CV;2.247796399 41.452128;;;;;;;http://www.wikidata.org/entity/Q23906582
3504;"Cos de vestit del Museu d'Història de Sabadell	";Top;Juana Fourcade;5499;;;Museu d'Història de Sabadell;1902;;;;Museu d'Història de Sabadell;;214CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906580
3505;"Cos de vestit del Museu de Badalona	";Top;Anonimat;4739;;;Museu de Badalona;1906;;;;Museu de Badalona;;228CV;2.247796399 41.452128;;;;;;;http://www.wikidata.org/entity/Q23906576
3506;"Cos de vestit del Museu d'Història de Sabadell	";Top;Fanny Ricot;5283;;;Museu d'Història de Sabadell;1890;;;;Museu d'Història de Sabadell;;143CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906573
3507;"Cos de vestit del Museu d'Història de Sabadell	";Top;Madame Lebrun;5315;;;Museu d'Història de Sabadell;1900;;;;Museu d'Història de Sabadell;;144CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906572
3508;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;11467/1;;;Centre de Documentació i Museu Tèxtil;1893;;;;Centre de Documentació i Museu Tèxtil;;177CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906571
3509;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;4621/1;;;Museu d'Història de Sabadell;1890;;;;Museu d'Història de Sabadell;;170CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906569
3510;"Cos de vestit del Museu Tèxtil i de la Indumentària de Barcelona	";Top;Anonimat;88120/1;;;Museu Tèxtil i d'Indumentària;1900;;;;Museu Tèxtil i d'Indumentària;;187CV;2.180833333 41.385;;;;;;;http://www.wikidata.org/entity/Q23906568
3511;"Cos de vestit del Museu Tèxtil i de la Indumentària de Barcelona	";Top;Anonimat;67390/1;;;Museu Tèxtil i d'Indumentària;1900;;;;Museu Tèxtil i d'Indumentària;;185CV;2.180833333 41.385;;;;;;;http://www.wikidata.org/entity/Q23906566
3512;"Cos de vestit del Museu de la Marina de Vilassar de Mar	";Top;Anonimat;3;;;Museu de la Marina;1899;;;;Museu de la Marina;;175CV;2.389374599 41.507239;;;;;;;http://www.wikidata.org/entity/Q23906557
3513;"Cos de vestit del Museu de la Marina de Vilassar de Mar	";Top;Anonimat;9;;;Museu de la Marina;1890;;;;Museu de la Marina;;190CV;2.389374599 41.507239;;;;;;;http://www.wikidata.org/entity/Q23906556
3514;"Cos de vestit del Museu d'Història de Sabadell	";Top;Teresa Sol___;5490;;;Museu d'Història de Sabadell;1890;;;;Museu d'Història de Sabadell;;153CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906554
3515;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;4605/1;;;Museu d'Història de Sabadell;1895;;;;Museu d'Història de Sabadell;;150CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906553
3516;"Cos de vestit del Museu d'Història de Sabadell	";Top;Madame Lebrun;5273;;;Museu d'Història de Sabadell;1903;;;;Museu d'Història de Sabadell;;201CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906550
3517;"Cos de vestit del Museu d'Història de Sabadell	";Top;Fanny Ricot;5727;;;Museu d'Història de Sabadell;1890;;;;Museu d'Història de Sabadell;;208CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906548
3518;"Cos de vestit del Museu d'Història de Sabadell	";Top;Fanny Ricot;4591/1;;;Museu d'Història de Sabadell;1905;;;;Museu d'Història de Sabadell;;217CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906547
3519;"Cos de vestit del Museu Romàntic Can Papiol	";Top;Anonimat;3615;;;Museu Romàntic Can Papiol;1880;;;;Museu Romàntic Can Papiol;;137CV;1.724776000 41.2277999;;;;;;;http://www.wikidata.org/entity/Q23906543
3520;"Cos de vestit del Museu Romàntic Can Papiol	";Top;Anonimat;3609;;;Museu Romàntic Can Papiol;1880;;;;Museu Romàntic Can Papiol;;138CV;1.724776000 41.2277999;;;;;;;http://www.wikidata.org/entity/Q23906541
3521;"Cos de vestit del Museu d'Història de Sabadell	";Top;Rosa Vilamala;5716;;;Museu d'Història de Sabadell;1882;;;;Museu d'Història de Sabadell;;120CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906540
3522;"Cos de vestit del Museu d'Història de Sabadell	";Top;Joaquima Vilamala;5716;;;Museu d'Història de Sabadell;1882;;;;Museu d'Història de Sabadell;;120CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906540
3523;"Cos de vestit del Museu d'Història de Sabadell	";Top;Rosa Vilamala;5502;;;Museu d'Història de Sabadell;1882;;;;Museu d'Història de Sabadell;;125CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906539
3524;"Cos de vestit del Museu d'Història de Sabadell	";Top;Joaquima Vilamala;5502;;;Museu d'Història de Sabadell;1882;;;;Museu d'Història de Sabadell;;125CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906539
3525;"Cos de vestit del Museu d'Història de Sabadell	";Top;Francisca Vila de Coll;4941;;;Museu d'Història de Sabadell;1880;;;;Museu d'Història de Sabadell;;117CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906538
3526;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;11918/1;;;Centre de Documentació i Museu Tèxtil;1875;;;;Centre de Documentació i Museu Tèxtil;;096P;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906532
3527;"Cos de vestit del Museu Comarcal de l'Urgell	";Top;Anonimat;005/1;;;Museu Comarcal de l'Urgell;1876;;;;Museu Comarcal de l'Urgell;;104CV;1.139297100 41.645901;;;;;;;http://www.wikidata.org/entity/Q23906530
3528;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;10474/1;;;Museu d'Història de Sabadell;1874;;;;Museu d'Història de Sabadell;;076CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906528
3529;"Cos de vestit del Museu d'Història de Catalunya	";Top;Anonimat;997/3;;;Museu d'Història de Catalunya;1870;;;;Museu d'Història de Catalunya;;101P;2.186014999 41.380715;;;;;;;http://www.wikidata.org/entity/Q23906517
3530;"Cos de vestit del Museu d'Història de Sabadell	";Top;Virg___nia Vellay;13325/1;;;Museu d'Història de Sabadell;1870;;;;Museu d'Història de Sabadell;;077CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906516
3531;"Cos de vestit del Museu Romàntic Can Papiol	";Top;Anonimat;MRCP3601/1;;;Museu Romàntic Can Papiol;1860;;;;Museu Romàntic Can Papiol;;071CV;1.724776000 41.2277999;;;;;;;http://www.wikidata.org/entity/Q23906506
3532;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;4939/1;;;Museu d'Història de Sabadell;1860;;;;Museu d'Història de Sabadell;;075CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906500
3533;"Cos de vestit del Museu Comarcal de l'Urgell	";Top;Anonimat;002/1;;;Museu Comarcal de l'Urgell;1860;;;;Museu Comarcal de l'Urgell;;063CV;1.139297100 41.645901;;;;;;;http://www.wikidata.org/entity/Q23906499
3534;"Cos de vestit del Museu-Arxiu Tomàs Balvey	";Top;Anonimat;1386/1;;;Museu-Arxiu Tomàs Balvey de Cardedeu;1861;;;;Museu-Arxiu Tomàs Balvey de Cardedeu;;024CV;2.354775000 41.637953;;;;;;;http://www.wikidata.org/entity/Q23906493
3535;"Cos de vestit del Museu Episcopal de Vic	";Top;Anonimat;17407;;;Museu Episcopal de Vic;1890;;;;Museu Episcopal de Vic;;171CV;2.255946999 41.928684;;;;;;;http://www.wikidata.org/entity/Q23906489
3536;"Cos de vestit del Museu Episcopal de Vic	";Top;Anonimat;13277;;;Museu Episcopal de Vic;1860;;;;Museu Episcopal de Vic;;087CV;2.255946999 41.928684;;;;;;;http://www.wikidata.org/entity/Q23906488
3537;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;5328;;;Museu Etnogràfic de Ripoll;1850;;;;Museu Etnogràfic de Ripoll;;027CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906484
3538;"Cos de vestit del Museu de Badalona	";Top;Anonimat;2420;;;Museu de Badalona;1860;;;;Museu de Badalona;;051CV;2.247796399 41.452128;;;;;;;http://www.wikidata.org/entity/Q23906421
3539;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;4611/1;;;Museu d'Història de Sabadell;1902;;;;Museu d'Història de Sabadell;;211CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906418
3540;"Cos de vestit del Museu de Badalona	";Top;Anonimat;4741;;;Museu de Badalona;1906;;;;Museu de Badalona;;229CV;2.247796399 41.452128;;;;;;;http://www.wikidata.org/entity/Q23906408
3541;"Cos de vestit del Museu de la Marina de Vilassar de Mar	";Top;Anonimat;001/1;;;Museu de la Marina;1898;;;;Museu de la Marina;;161CV;2.389374599 41.507239;;;;;;;http://www.wikidata.org/entity/Q23906406
3542;"Cos de vestit del Museu d'Història de Sabadell	";Top;Teresa Sol___;5706;;;Museu d'Història de Sabadell;1895;;;;Museu d'Història de Sabadell;;152CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906405
3543;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;5332;;;Museu Etnogràfic de Ripoll;1895;;;;Museu Etnogràfic de Ripoll;;173CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906403
3544;"Cos de vestit del Museu Comarcal de la Garrotxa	";Top;Anonimat;1362;;;Museu de la Garrotxa;1840;;;;Museu de la Garrotxa;;011CV;2.489343999 42.181371;;;;;;;http://www.wikidata.org/entity/Q23906402
3545;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;3567;;;Museu Etnogràfic de Ripoll;1840;;;;Museu Etnogràfic de Ripoll;;004CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906399
3546;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;10869;;;Centre de Documentació i Museu Tèxtil;1910;;;;Centre de Documentació i Museu Tèxtil;;298CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906387
3547;"Cos de vestit del Museu de la Marina de Vilassar de Mar	";Top;Anonimat;8;;;Museu de la Marina;1910;;;;Museu de la Marina;;301CV;2.389374599 41.507239;;;;;;;http://www.wikidata.org/entity/Q23906386
3548;"Cos de vestit del Museu d'Història de Sabadell	";Top;;10473;;;Museu d'Història de Sabadell;1900;;;;Museu d'Història de Sabadell;;209CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906384
3549;"Cos de vestit del Museu d'Història de Sabadell	";Top;Marie-Antoinette Berbegier;5729;;;Museu d'Història de Sabadell;1900;;;;Museu d'Història de Sabadell;;207CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906383
3550;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;5311;;;Museu Etnogràfic de Ripoll;1900;;;;Museu Etnogràfic de Ripoll;;219CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906382
3551;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;10815;;;Centre de Documentació i Museu Tèxtil;1900;;;;Centre de Documentació i Museu Tèxtil;;242CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906380
3552;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;11544/1;;;Centre de Documentació i Museu Tèxtil;1890;;;;Centre de Documentació i Museu Tèxtil;;180CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906378
3553;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;3564;;;Museu Etnogràfic de Ripoll;1860;;;;Museu Etnogràfic de Ripoll;;049CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906377
3554;"Cos de vestit del Museu Episcopal de Vic	";Top;Anonimat;17361;;;Museu Episcopal de Vic;1860;;;;Museu Episcopal de Vic;;056CV;2.255946999 41.928684;;;;;;;http://www.wikidata.org/entity/Q23906376
3555;"Cos de vestit del Museu Comarcal de la Garrotxa	";Top;Anonimat;6134;;;Museu de la Garrotxa;1860;;;;Museu de la Garrotxa;;030CV;2.489343999 42.181371;;;;;;;http://www.wikidata.org/entity/Q23906374
3556;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5272;;;Museu d'Història de Sabadell;1912;;;;Museu d'Història de Sabadell;;287CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906372
3557;"Cos de vestit del Museu Romàntic Can Papiol	";Top;Anonimat;3646;;;Museu del Vestit;1906;;;;Museu del Vestit;;280CV;(-3.72861111 40.44);;;;;;;http://www.wikidata.org/entity/Q23906369
